,Unnamed: 0,Unnamed: 0.1,room,token_id,rule_name,rule_description,prior_accuracy,posterior_accuracy,prior_feedback,posterior_feedback,code_init,code_rev,,init_c,rev_c,,init_u,rev_u,,init_o,rev_o,,d_init,d_rev,,n_init,n_rev,,,,,,
0,0,0,TDvs5,WjsXkIQV1LXVlJmcAAAJ,Omega,all are blue OR small,0.625,0.875,There cannot be any two cones that are overlapping vertically.,The cones must be all blue or all small.,d,c,,0,1,,0,0,,0,0,,1,0,,0,0,,,,,,
1,1,1,TDvs5,WjsXkIQV1LXVlJmcAAAJ,Upsilon,none are upright,0.75,0.625,There must be at least two cones that are overlapping.,There must be at least two cones that are overlapping.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
2,2,2,TDvs5,WjsXkIQV1LXVlJmcAAAJ,Kappa,at least one is blue AND small,0.75,0.75,I have no idea what the rule is.,I have no idea what the rule is.,n,n,,0,0,,0,0,,0,0,,0,0,,1,1,,,,,,
3,3,3,TDvs5,WjsXkIQV1LXVlJmcAAAJ,Iota,one is blue,0.625,0.625,There must be at least one blue cone.,There must be at least one blue cone.,u,u,,0,0,,1,1,,0,0,,0,0,,0,0,,,,,,
4,4,5,TDvs5,piHJRkGAQiNDVM_pAAAL,Omega,all are blue OR small,0.5,0.5,"One medium sized red, two small green.","One medium red, two small green.",d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
5,5,6,TDvs5,piHJRkGAQiNDVM_pAAAL,Upsilon,none are upright,0.375,0.625,I could not figure out a relationship.,I could not figure out a rule.,n,n,,0,0,,0,0,,0,0,,0,0,,1,1,,,,,,
6,6,7,TDvs5,piHJRkGAQiNDVM_pAAAL,Kappa,at least one is blue AND small,0.625,0.625,At least two pieces stacked and all pointing in same direction.,At least two pieces stacked and all pointing in same direction.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
7,7,8,TDvs5,piHJRkGAQiNDVM_pAAAL,Iota,one is blue,0.75,0.75,All three colors must be present.,all three colors must be present,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
8,8,10,vrJh5,zZ5CYdb0UfG8F3vRAAAS,Omega,all are blue OR small,0.375,0.375,It seems there most be at least one or more cones sideways for it to emit radiation. ,It seems there most be at least one cone sideways to emit radiation. ,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
9,9,11,vrJh5,zZ5CYdb0UfG8F3vRAAAS,Zeta,there is a red,0.25,0.25,there has to be two cones stacked on top of each other.,there has to be two cones stacked on top of each other,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
10,10,13,vrJh5,zZ5CYdb0UfG8F3vRAAAS,Kappa,at least one is blue AND small,0.625,0.625,I could not figure out what connects these cones that creates the radiation. the only thing I noticed was the fact that there had to be a small cone inside a large one.,I could not figure out what connects these cones that creates the radiation. the only thing I noticed was the fact that there had to be a small cone inside a large one.,n,n,,0,0,,0,0,,0,0,,0,0,,1,1,,,,,,
11,11,15,vrJh5,Sx5A2_s1FPDoUsTLAAAT,Omega,all are blue OR small,0.5,0.5,There are only medium and small triangles. There are at most 3 triangles.,There are three triangles and there is only small and medium sized triangles.,d,d,,0,0,,0,0,,0,0,,1,1,,0,0,,,,,,
