,token_id,rule_name,rule_description,posterior,prior_accuracy,posterior_accuracy,prior_feedback,posterior_feedback,prior_fit,post_fit,correct_init,correct_revised,,u_init,u_rev,,o_init,o_rev,,d_init,d_rev,,n_init,n_rev
0,wHjhL,Iota,one is blue,"[True, True, True, True, False, False, False, False]",1,1,This radiation requires 1 blue.,This radiation requires just 1 blue.,c,c,1,1,,0,0,,0,0,,0,0,,0,0
1,wHjhL,Zeta,there is a red,"[True, True, True, True, False, False, False, False]",1,1,The red cones emit this radiation.,This radiation requires a red cone.,c,c,1,1,,0,0,,0,0,,0,0,,0,0
2,wHjhL,Omega,all are blue OR small,"[False, True, True, True, True, True, True, False]",0.625,0.5,There needs to be 2 small cones or 1 medium cone,The radiation comes from 1 medium blue or 2 or more small cones.,d,d,0,0,,0,0,,0,0,,1,1,,0,0
3,wHjhL,Upsilon,none are upright,"[False, False, False, True, False, True, False, True]",0.375,0.375,There needs to be 3 or less cones with 1 being a small blue,There must be a small blue cone and two reds touching,d,d,0,0,,0,0,,0,0,,1,1,,0,0
4,wHjhL,Kappa,at least one is blue AND small,"[False, True, True, True, True, True, False, True]",0.625,0.5,This radiation comes from blue cones,There must be at least one blue but there can not be three blues,u,u,0,0,,1,1,,0,0,,0,0,,0,0
5,ZECTn,Iota,one is blue,"[True, True, True, True, False, False, False, False]",0.625,1,There needs to be at least one blue triangle.,There must be exactly one blue triangle.,u,c,0,1,,1,0,,0,0,,0,0,,0,0
6,ZECTn,Zeta,there is a red,"[True, True, True, True, False, False, False, False]",1,1,There must be at least one red triangle.,There must be at least one red triangle.,c,c,1,1,,0,0,,0,0,,0,0,,0,0
7,ZECTn,Upsilon,none are upright,"[False, True, False, False, False, False, False, False]",0.375,0.625,There must be exactly one blue triangle.,There must be exactly one blue triangle laying on its side.,d,d,0,0,,0,0,,0,0,,1,1,,0,0
8,ZECTn,Kappa,at least one is blue AND small,"[True, True, True, True, False, False, False, False]",1,1,There must be at least one small blue triangle.,There must be at least one small blue triangle.,c,c,1,1,,0,0,,0,0,,0,0,,0,0
9,ZECTn,Omega,all are blue OR small,"[False, True, False, False, False, False, False, False]",0.625,0.625,There must be at least one blue triangle.,There must be no red triangles.,u,d,0,0,,1,0,,0,0,,0,1,,0,0
10,qEOSD,Omega,all are blue OR small,"[True, False, True, True, False, False, False, False]",0.75,0.875,No Big Triangles ,No big triangles and only 1 Medium Triangle,d,d,0,0,,0,0,,0,0,,1,1,,0,0
11,qEOSD,Zeta,there is a red,"[True, True, True, True, False, False, False, False]",1,1,Must have red cones ,Must be a red cone and waves will be emitted,o,c,0,1,,0,0,,1,0,,0,0,,0,0
12,qEOSD,Kappa,at least one is blue AND small,"[True, False, False, False, False, False, False, False]",0.625,0.625,Three of one color two of another at least is what it seems,At least three blues and two of another color along with that,d,d,0,0,,0,0,,0,0,,1,1,,0,0
13,qEOSD,Upsilon,none are upright,"[True, False, False, False, False, False, True, False]",0.75,0.5,Two big reds touching ,Two big red cones touching along with one other big cone,d,d,0,0,,0,0,,0,0,,1,1,,0,0
14,qEOSD,Iota,one is blue,"[False, False, False, True, True, True, True, False]",0.25,0.25,Having blue cones but not being outnumbered by other colors,Having at least one blue cone  or a solo big blue cone,d,o,0,0,,0,0,,0,1,,1,0,,0,0
15,2ZlW3,Omega,all are blue OR small,"[False, False, False, False, False, True, False, False]",0.5,0.375,There must be at least one of the cone is in cross arrangements.,There are almost 6 colors were available ,d,d,0,0,,0,0,,0,0,,1,1,,0,0
16,2ZlW3,Kappa,at least one is blue AND small,"[False, False, False, True, False, False, True, False]",0.75,0.5,There is exactly one cone is lace above the another cone.,There are exactly same as previous ,d,d,0,0,,0,0,,0,0,,1,1,,0,0
17,2ZlW3,Iota,one is blue,"[False, False, True, False, False, False, False, False]",0.25,0.625,These two are mostly equal to the new choice,There is mostly similar,n,n,0,0,,0,0,,0,0,,0,0,,1,1
18,2ZlW3,Zeta,there is a red,"[False, False, False, False, False, False, False, True]",0.5,0.375,"There is most chance available
",There is exactly matching available,n,n,0,0,,0,0,,0,0,,0,0,,1,1
19,2ZlW3,Upsilon,none are upright,"[True, False, True, False, False, False, True, False]",0.5,0.625,There are at most is possible,Most are common,n,n,0,0,,0,0,,0,0,,0,0,,1,1
20,rTu4H,Zeta,there is a red,"[True, True, True, True, False, False, True, True]",0.25,0.75,Any color and size cone on top of a red or green cone. ,"Any red cone
And cone on top of a green cone.",d,c,0,1,,0,0,,0,0,,1,0,,0,0
21,rTu4H,Upsilon,none are upright,"[False, False, False, True, False, True, False, True]",0.5,0.375,Two large red cones and a small blue cone.,Any combonation of any red cone plus and blue cone but the cannot be stacked on top of each other,d,d,0,0,,0,0,,0,0,,1,1,,0,0
22,rTu4H,Omega,all are blue OR small,"[False, True, False, False, False, True, False, False]",0.375,0.5,Any medium blue cone with a green or red cone of equal or small size touching it,"Any blue cone by itself and any blue cone with a green or red cone resting on it, as long as it is smaller in size.",d,d,0,0,,0,0,,0,0,,1,1,,0,0
23,rTu4H,Iota,one is blue,"[True, True, True, True, True, True, True, False]",0.375,0.625,Any blue cone by itself or any blue cone touching a red or green cone,Any scene that involves a blue cone ,o,c,0,1,,0,0,,1,0,,0,0,,0,0
24,rTu4H,Kappa,at least one is blue AND small,"[True, False, True, True, False, False, False, False]",0.875,0.875,Any scene containing 2 blue cones,Any two blue cones as long and if there is a red cone it must be touching one of the blue cones,d,d,0,0,,0,0,,0,0,,1,1,,0,0
25,4F753,Zeta,there is a red,"[True, False, False, False, False, False, False, False]",0.625,0.625,there must be at least 4 of the radiation happened,there must be emitting of the waves should be in a previous one,n,n,0,0,,0,0,,0,0,,0,0,,1,1
26,4F753,Omega,all are blue OR small,"[False, False, False, False, False, False, True, False]",0.375,0.375,the rule is very difficult to make the wave,as like as the previous one that is impossible to do,n,n,0,0,,0,0,,0,0,,0,0,,1,1
27,4F753,Upsilon,none are upright,"[True, False, False, False, False, False, False, False]",0.375,0.625,so much difficult in the work,however i tried my best but i cannot complete ,n,n,0,0,,0,0,,0,0,,0,0,,1,1
28,4F753,Iota,one is blue,"[False, False, False, False, True, False, False, False]",0.375,0.375,there are lot of difficulties while arrange them,there mus be easiest way to arrange the wave,n,n,0,0,,0,0,,0,0,,0,0,,1,1
29,4F753,Kappa,at least one is blue AND small,"[True, False, False, False, False, False, False, False]",0.625,0.625,this trial is very difficult to create those light waves,this trail also i cannot establish a wave,n,n,0,0,,0,0,,0,0,,0,0,,1,1
30,AYXpS,Kappa,at least one is blue AND small,"[True, True, True, True, False, False, False, False]",1,1,There has to be at least one small blue cone,There has to be at least one small blue cone. ,c,c,1,1,,0,0,,0,0,,0,0,,0,0
31,AYXpS,Iota,one is blue,"[True, True, False, False, False, False, False, False]",0.5,0.75,There has to be exactly one medium blue cone.,There has to be exactly one blue cone and it has to be medium,o,o,0,0,,0,0,,1,1,,0,0,,0,0
32,AYXpS,Upsilon,none are upright,"[False, True, False, True, False, False, False, False]",0.75,0.75,The blue cones have to be rotated,All the blue cones have to be rotated. The size of the blue cone doesn't matter.,o,o,0,0,,0,0,,1,1,,0,0,,0,0
33,AYXpS,Omega,all are blue OR small,"[False, True, False, True, False, True, True, False]",0.5,0.5,There has to be at least one medium blue cone or one small green cone.,There has to be at least one blue cone of any size or one small green cone.,d,d,0,0,,0,0,,0,0,,1,1,,0,0
34,AYXpS,Zeta,there is a red,"[True, True, True, True, False, False, False, False]",1,1,There has to be at least one red cone of any size,There has to be at least on red cone of any size,c,c,1,1,,0,0,,0,0,,0,0,,0,0
35,JATf9,Iota,one is blue,"[True, True, True, True, True, True, True, False]",0.375,0.625,"There must be at least 3 cones.  Size, position and location does not matter.",There must be at least one blue cone of any shape.,d,c,0,1,,0,0,,0,0,,1,0,,0,0
36,JATf9,Omega,all are blue OR small,"[False, False, False, True, False, False, False, False]",0.5,0.625,There must be at least one blue cone and one green come of any size.,There must be at least one small green cone.,d,d,0,0,,0,0,,0,0,,1,1,,0,0
37,JATf9,Upsilon,none are upright,"[True, True, True, False, True, True, False, True]",0.75,0.5,There must be at least one blue cone that is leaned over.,There must be at least one cone tipped onto it's side.,d,d,0,0,,0,0,,0,0,,1,1,,0,0
38,JATf9,Kappa,at least one is blue AND small,"[True, True, True, True, False, False, False, False]",0.375,1,There should be at least one small green cone and one small blue cone.,There must be at least one small blue cone.,o,c,0,1,,0,0,,1,0,,0,0,,0,0
39,JATf9,Zeta,there is a red,"[True, True, True, True, False, False, False, False]",1,1,There should be at least one red cone of any size.,There must be at least one red cone of any size in any orientation.,c,c,1,1,,0,0,,0,0,,0,0,,0,0
40,QgoZL,Zeta,there is a red,"[True, True, True, True, False, False, False, False]",1,1,There must be at least one red cone.,There has to be at least one red.,c,c,1,1,,0,0,,0,0,,0,0,,0,0
41,QgoZL,Omega,all are blue OR small,"[False, True, False, False, False, False, False, False]",0.625,0.625,There has to be more blue than red cones.,"There must be at least one blue cone, no red, and only small green cones.",d,o,0,0,,0,0,,0,1,,1,0,,0,0
42,QgoZL,Upsilon,none are upright,"[True, True, True, True, False, False, False, False]",1,1,All cones must be tilted over.,All cones must be tiled over on their side.,c,c,1,1,,0,0,,0,0,,0,0,,0,0
43,QgoZL,Kappa,at least one is blue AND small,"[False, True, False, False, False, False, False, False]",0.625,0.625,There must be three cones with at least one underneath another.,There must be a blue or green cone on top of another blue or green cone.,d,d,0,0,,0,0,,0,0,,1,1,,0,0
